parent_hash,parent_origin,parent_label,parent_score,best_score_after,best_mode,score0_seen,score_improvement_seen,escaped_false_basin_seen
6c9b54f65c0ccc655f66f314b5328d546fcea36e2fa08af2ffdcc6c84d2b7c30,exact_derived,exact_derived_positive_control,16,0,threshold_accepting_repair,True,True,False
6f66c471822145f3d833c0aded290576b5fb7bf37379682c92f0bb6d955d8d8d,exact_derived,exact_derived_positive_control,16,0,threshold_accepting_repair,True,True,False
757b4d45902ebcd451a9072b84fa852ab9f5ab371af0871c3f1a8d2c250e1523,exact_derived,exact_derived_positive_control,16,0,threshold_accepting_repair,True,True,False
80991fd598ae000074f50532c12f9744f9bd7b89956600546249fbce37b7441a,exact_derived,exact_derived_positive_control,16,0,threshold_accepting_repair,True,True,False
86c8dc4ec409433fed352d1cca0a887014ff47f0ee70323aa6590a15a2199fcd,exact_derived,exact_derived_positive_control,16,0,sparse_vector_cancellation_beam,True,True,False
9c6bad2888b3b7a31bad6d016f865a57f610057772254dd36c7a585c92f648e5,exact_derived,exact_derived_positive_control,16,0,threshold_accepting_repair,True,True,False
b0041a8b7e31376fe572bb9e9b8869162e2c4c8537e0ea839f27def224bb4c3d,exact_derived,exact_derived_positive_control,16,0,sparse_vector_cancellation_beam,True,True,False
b4bb17ca3e11274f92e713d87f053f2808f25bf1bc055011bc96537a512ff748,exact_derived,exact_derived_positive_control,16,0,sparse_vector_cancellation_beam,True,True,False
e73dcb95aae9b71117f2c6e933389df88bf08cfd01d0b91550b7db45a8af07ed,exact_derived,exact_derived_positive_control,16,0,threshold_accepting_repair,True,True,False
237aeabcc33317a9503cd5794a59af4a4da69fcb86eab3c0e448ee3106bb3ba3,search_derived,search_low_score,8,8,baseline_no_repair,False,False,True
342b79e2b4b5bd86c3f30e5507da50efb04152002a3346fa66c85bdc20f6afc4,search_derived,search_low_score,8,8,baseline_no_repair,False,False,True
56cf0ea2b126cda6f5222152531a4662fd2e3deb8b42a06dd5f5e3ddbfca8a33,search_derived,search_low_score,8,4,negative_cross_pair_search,False,True,True
845d1288cb6a372c708c03d83db5452c5e504d3dd97d347267e05a02ad51ec3a,search_derived,search_low_score,8,8,baseline_no_repair,False,False,True
872e93ee6f764ae56a4116dc71e3691cf18bc4a94d3a06b2508bc48ebf7ee680,search_derived,search_low_score,8,8,baseline_no_repair,False,False,True
d6fe399cea7d762e62ec305c74b1757246684622463e1f546dec0c395c1e9a60,search_derived,search_low_score,8,8,baseline_no_repair,False,False,True
ee8b6228cbb8a71fe119939a3552b242fdddcff07e371a95afc5f813c02e821f,search_derived,search_low_score,8,4,sparse_vector_cancellation_beam,False,True,True
412feb61bb690fbbb70b64417fbac2162a4fe174289e7550a9834c11506ae36c,search_derived,search_low_score,12,8,threshold_accepting_repair,False,True,True
736aea05847d1290afb140f9ffe60fefc4cb50144cd65a34d45cc078cbfc8026,search_derived,search_low_score,12,8,threshold_accepting_repair,False,True,True
73a98286ae5e4e6eff512eddd553c66d610fc51f823077a9ce05a88e11f75502,search_derived,search_low_score,12,8,threshold_accepting_repair,False,True,False
cade68a4f20bec882514ac2d92d57d4e275878a1599ffcc3c6233ea2c3e21aae,search_derived,search_low_score,12,8,threshold_accepting_repair,False,True,False
dde69fcd8479cc98f9e902712b3411d567664239bb3ce8ca587387d32e98e522,search_derived,search_low_score,12,8,threshold_accepting_repair,False,True,True
e214cbb1bcec6a251f0ac94c4579e2bacc08956a671fd2a3f9ccea828e3f4bc6,search_derived,search_low_score,12,4,negative_cross_pair_search,False,True,True
eb7e8dab72d6bb32a35389b567ff11018719d3a7966d28bceecbbf44a65ba530,search_derived,search_low_score,12,8,threshold_accepting_repair,False,True,False
038ec2f750aa4a60d7ef02d4894e9432c1a697c40f77e0860a79d8ec335dcdb5,search_derived,search_low_score,16,8,threshold_accepting_repair,False,True,False
127edb2a2036f4a8cd3c4324cf14378bb5430889e739a090d44251d16c4fec0b,search_derived,search_low_score,16,8,negative_cross_pair_search,False,True,False
46e01a46145bfd888c2dbf9d030b3130937eb03ecfd1d39fee1d471949cd0b0a,search_derived,search_low_score,16,8,threshold_accepting_repair,False,True,False
79961398e7a15cc4ca6a9de804271111bdaa061c80ca532f7534c5cc0c091b2a,search_derived,search_low_score,16,8,negative_cross_pair_search,False,True,False
ec7eacd03eb87a8ae60a3e19ba3d82992945e2f4ac3d9db70bd8a9cc6eaba626,search_derived,search_low_score,16,8,threshold_accepting_repair,False,True,False
f016cfeeb6e63a430ae3a8b70a7a36d11e62d34f2ec7a131b66d00fffedce787,search_derived,search_low_score,16,8,threshold_accepting_repair,False,True,True
f1a0acd6ddc2376d401aa69c75de501099fe0e4f2bf194951755888a7848824c,search_derived,search_low_score,16,8,threshold_accepting_repair,False,True,False
